103/09/01,12558540.0,565282959.0,44.3,45.5,43.95,45.25,+1.65,4957.0,
103/09/02,10959308.0,490099229.0,45.1,45.2,44.05,44.45,-0.80,3395.0,
103/09/03,13172975.0,590908116.0,45.3,45.3,44.25,45.15,+0.70,4136.0,
103/09/04,13741350.0,618203000.0,45.15,45.5,44.55,45.0,-0.15,5020.0,
103/09/05,12271731.0,540239735.0,45.0,45.0,43.6,43.8,-1.20,4433.0,
103/09/09,11653144.0,510152625.0,44.1,44.5,43.35,43.65,-0.15,4473.0,
103/09/10,13607079.0,588430252.0,43.65,44.4,42.8,43.05,-0.60,4896.0,
103/09/11,6606569.0,283682900.0,43.2,43.25,42.25,42.9,-0.15,2587.0,
103/09/12,9251209.0,391370464.0,42.9,43.0,42.0,42.0,-0.90,3445.0,
103/09/15,11633490.0,487056480.0,42.0,42.85,41.1,42.0,0.00,4659.0,
103/09/16,8023625.0,335085442.0,41.9,42.55,41.25,41.45,-0.55,2836.0,
103/09/17,15521504.0,659029736.0,42.0,42.8,41.95,42.35,+0.90,4881.0,
103/09/18,12118538.0,517394243.0,43.0,43.15,42.1,43.0,+0.65,4687.0,
103/09/19,20333100.0,885675225.0,43.45,44.1,43.1,43.4,+0.40,5861.0,
103/09/22,14042603.0,597864029.0,43.2,43.2,42.35,42.5,-0.90,4563.0,
103/09/23,12077286.0,522100938.0,42.5,43.65,42.5,43.55,+1.05,4406.0,
103/09/24,11157547.0,479915421.0,43.1,43.3,42.7,42.9,-0.65,3168.0,
103/09/25,18847909.0,799148128.0,42.9,43.3,41.85,41.95,-0.95,5776.0,
103/09/26,13327383.0,557024024.0,41.4,42.35,41.1,42.35,+0.40,4114.0,
103/09/29,8096999.0,340737198.0,42.0,42.4,41.65,42.15,-0.20,3520.0,
103/09/30,11001846.0,463638982.0,42.4,42.75,41.75,41.75,-0.40,4414.0,
103/10/01,10293287.0,432334804.0,41.3,42.35,41.3,41.85,+0.10,4433.0,
103/10/02,11515667.0,479791441.0,41.05,42.25,41.0,41.5,-0.35,4474.0,
103/10/03,8842281.0,374248809.0,41.5,42.7,41.45,42.5,+1.00,3562.0,
103/10/06,10757367.0,459405702.0,42.8,43.0,42.4,42.4,-0.10,4432.0,
103/10/07,8736685.0,370411294.0,42.0,42.75,41.8,42.55,+0.15,3751.0,
103/10/08,16863979.0,704422473.0,41.8,42.3,41.3,41.3,-1.25,5789.0,
103/10/09,10953642.0,457008603.0,41.6,42.05,41.35,41.5,+0.20,3865.0,
103/10/13,19022057.0,749860851.0,39.7,40.05,38.6,39.45,-2.05,5848.0,
103/10/14,8506584.0,341959676.0,40.0,40.45,39.6,40.45,+1.00,3297.0,
103/10/15,11079376.0,441010761.0,39.5,40.2,39.5,39.55,-0.90,5524.0,
103/10/16,12166432.0,476003431.0,38.85,39.55,38.7,39.05,-0.50,3489.0,
103/10/17,14484732.0,575589751.0,39.9,40.1,39.3,39.3,+0.25,5576.0,
103/10/20,11715572.0,467538580.0,40.05,40.45,39.45,39.8,+0.50,4391.0,
103/10/21,5874301.0,233076917.0,39.95,40.15,39.4,39.4,-0.40,2746.0,
103/10/22,11127366.0,450075441.0,40.0,40.9,39.9,40.4,+1.00,4004.0,
103/10/23,9346416.0,378173398.0,40.5,40.8,40.1,40.8,+0.40,3263.0,
103/10/24,9920309.0,407487604.0,40.8,41.6,40.4,40.75,-0.05,4308.0,
103/10/27,16221467.0,677361374.0,41.4,42.25,40.8,41.95,+1.20,6067.0,
103/10/28,21001666.0,872899399.0,41.95,41.95,41.1,41.65,-0.30,7369.0,
103/10/29,29933519.0,1225376351.0,40.5,41.65,40.2,41.25,-0.40,9237.0,
103/10/30,19703608.0,826524536.0,41.4,42.25,41.4,42.2,+0.95,5543.0,
103/10/31,11387990.0,484395361.0,42.25,42.9,41.95,42.9,+0.70,3943.0,
103/11/03,13207993.0,568072041.0,43.0,43.5,42.6,42.95,+0.05,5239.0,
103/11/04,7953443.0,341729349.0,43.0,43.2,42.7,42.95,0.00,3124.0,
103/11/05,18538381.0,794027751.0,43.4,43.4,42.6,43.0,+0.05,2576.0,
103/11/06,10174320.0,438522880.0,43.0,43.25,42.9,43.2,+0.20,2884.0,
103/11/07,7636792.0,329608211.0,43.2,43.5,42.65,42.95,-0.25,2641.0,
103/11/10,12876807.0,549591393.0,42.7,43.0,42.5,42.7,-0.25,4076.0,
103/11/11,15159044.0,657158407.0,42.8,43.75,42.8,43.6,+0.90,4526.0,
103/11/12,9394899.0,406306285.0,43.7,43.8,42.85,42.9,-0.70,3547.0,
103/11/13,10034702.0,437183521.0,43.4,43.9,43.05,43.85,+0.95,3930.0,
103/11/14,10709338.0,471028280.0,44.0,44.2,43.55,43.95,+0.10,3228.0,
103/11/17,7413715.0,326006768.0,44.45,44.45,43.5,43.9,-0.05,2458.0,
103/11/18,6445210.0,283183991.0,44.3,44.3,43.45,44.0,+0.10,2554.0,
103/11/19,14906900.0,664102175.0,44.35,44.7,44.05,44.7,+0.70,5261.0,
103/11/20,20745775.0,944804750.0,44.95,45.9,44.75,45.85,+1.15,6484.0,
103/11/21,13993808.0,642033127.0,45.85,46.2,45.5,46.0,+0.15,4281.0,
103/11/24,9822367.0,446537047.0,46.2,46.55,45.15,45.25,-0.75,3889.0,
103/11/25,8243101.0,373306545.0,45.4,45.5,45.2,45.2,-0.05,3288.0,
103/11/26,8040334.0,363228530.0,45.45,45.45,45.0,45.15,-0.05,2713.0,
103/11/27,9532812.0,433356791.0,45.35,45.8,45.1,45.15,0.00,4024.0,
103/11/28,6595404.0,299574328.0,45.15,45.6,45.15,45.45,+0.30,2931.0,
103/12/01,12235964.0,553867684.0,44.5,46.0,44.3,44.7,-0.75,6030.0,
103/12/02,9294883.0,414224153.0,44.7,45.0,44.1,44.4,-0.30,3826.0,
103/12/03,9976872.0,454280638.0,45.8,45.9,44.9,45.85,+1.45,4278.0,
103/12/04,13075520.0,602916782.0,46.0,46.5,45.4,45.95,+0.10,6443.0,
103/12/05,9851953.0,453330027.0,46.0,46.25,45.75,46.1,+0.15,3020.0,
103/12/08,14096631.0,666271833.0,46.25,48.4,46.25,46.65,+0.55,6358.0,
103/12/09,12637167.0,595159057.0,47.2,47.6,46.7,46.85,+0.20,5667.0,
103/12/10,12043813.0,557686003.0,47.25,47.25,45.45,46.5,-0.35,5560.0,
103/12/11,13339695.0,618954221.0,46.1,47.05,45.45,46.5,0.00,4595.0,
103/12/12,8467956.0,394149367.0,46.15,47.0,46.05,46.15,-0.35,3876.0,
103/12/15,12243058.0,562260085.0,45.7,46.3,45.65,45.8,-0.35,4921.0,
103/12/16,6215850.0,284081833.0,45.8,46.1,45.4,45.4,-0.40,2767.0,
103/12/17,11449576.0,518872278.0,45.5,45.85,44.7,44.8,-0.60,3683.0,
103/12/18,15409366.0,717506892.0,45.75,47.5,45.4,46.8,+2.00,6473.0,
103/12/19,13310983.0,629571701.0,47.3,47.85,46.9,47.0,+0.20,4242.0,
103/12/22,11021226.0,527558642.0,47.9,48.3,47.55,48.2,+1.20,3237.0,
103/12/23,7980050.0,383870600.0,48.45,48.45,47.6,48.25,+0.05,3267.0,
103/12/24,5626663.0,270583974.0,47.7,48.25,47.6,48.25,0.00,1792.0,
103/12/25,3051678.0,147199850.0,48.4,48.6,47.9,48.0,-0.25,1176.0,
103/12/26,2816059.0,135530882.0,48.15,48.45,47.9,48.15,+0.15,1006.0,
103/12/27,1229325.0,59207979.0,48.4,48.45,48.05,48.2,+0.05,309.0,
103/12/29,8482016.0,414250823.0,48.45,49.25,48.3,48.65,+0.45,3301.0,
103/12/30,6801111.0,326923965.0,48.9,49.3,47.75,47.95,-0.70,3363.0,
103/12/31,4143101.0,198329413.0,48.2,48.2,47.7,47.95,0.00,1902.0,
104/01/05,11406723.0,546182560.0,47.7,48.3,47.3,48.2,+0.25,4600.0,
104/01/06,12276162.0,583135975.0,47.8,47.8,47.15,47.7,-0.50,5301.0,
104/01/07,7556677.0,358251681.0,47.7,47.85,47.2,47.2,-0.50,3864.0,
104/01/08,10221311.0,492471778.0,48.0,48.4,47.55,48.05,+0.85,4283.0,
104/01/09,10873301.0,519570904.0,48.75,48.8,47.5,47.8,-0.25,4713.0,
104/01/12,8085836.0,384659537.0,48.0,48.0,47.05,47.6,-0.20,3645.0,
104/01/13,10289151.0,487684417.0,47.65,47.8,47.15,47.5,-0.10,3863.0,
104/01/14,12706732.0,608106401.0,48.0,48.0,47.5,48.0,+0.50,3095.0,
104/01/15,6523472.0,312274471.0,48.0,48.3,47.4,48.0,0.00,3166.0,
104/01/16,9776935.0,468723872.0,48.75,49.1,47.5,47.5,-0.50,4871.0,
104/01/19,8154053.0,390829723.0,48.5,48.5,47.6,47.95,+0.45,3369.0,
104/01/20,6938882.0,332002694.0,48.2,48.25,47.65,48.15,+0.20,2546.0,
104/01/21,19526551.0,960837784.0,48.55,50.0,48.5,49.2,+1.05,8239.0,
104/01/22,25833945.0,1308615890.0,50.0,51.6,49.65,50.5,+1.30,9859.0,
104/01/23,17244359.0,890765457.0,51.0,52.0,51.0,52.0,+1.50,6774.0,
104/01/26,19326464.0,993072823.0,51.3,52.2,50.7,52.0,0.00,6350.0,
104/01/27,8713209.0,453800911.0,52.5,52.6,51.8,52.1,+0.10,3362.0,
104/01/28,8243990.0,430506061.0,52.0,52.5,51.8,52.5,+0.40,2880.0,
104/01/29,22970860.0,1208491990.0,53.0,53.8,51.5,52.4,-0.10,8497.0,
104/01/30,28121061.0,1486108233.0,53.1,53.8,53.0,53.2,+0.80,10039.0,
104/02/02,17515067.0,935251248.0,54.0,54.0,53.0,53.4,+0.20,6216.0,
104/02/03,17212905.0,925275574.0,54.0,54.0,53.4,53.9,+0.50,7093.0,
104/02/04,16233201.0,888004874.0,54.3,55.0,54.3,55.0,+1.10,7036.0,
104/02/05,15617991.0,859225368.0,55.2,55.4,54.7,55.1,+0.10,4907.0,
104/02/06,14134677.0,770951018.0,55.1,55.2,53.9,54.4,-0.70,6200.0,
104/02/09,18866382.0,992015329.0,54.4,54.4,53.1,53.7,-0.70,5421.0,
104/02/10,20135499.0,1056055191.0,53.8,53.8,51.9,52.9,-0.80,8055.0,
104/02/11,11776728.0,630228303.0,53.6,53.8,53.0,53.8,+0.90,4791.0,
104/02/12,11888456.0,631257506.0,54.0,54.3,52.6,53.5,-0.30,4675.0,
104/02/13,12016803.0,657713663.0,54.0,55.2,53.7,55.2,+1.70,5568.0,
104/02/24,17723575.0,970572230.0,55.6,55.6,54.1,54.3,-0.90,6953.0,
104/02/25,24402940.0,1375672985.0,55.1,57.9,54.9,56.2,+1.90,8562.0,
104/02/26,18823446.0,1045596280.0,56.6,56.7,54.8,55.9,-0.30,6151.0,
104/03/02,10070826.0,565872259.0,56.1,56.9,55.8,56.0,+0.10,4445.0,
104/03/03,7916048.0,442596767.0,56.2,56.4,55.4,55.9,-0.10,2678.0,
104/03/04,8073893.0,449776666.0,56.0,56.0,55.5,55.6,-0.30,2129.0,
104/03/05,6561838.0,366392585.0,56.8,56.9,55.3,55.8,+0.20,2354.0,
104/03/06,7770709.0,433186738.0,56.6,56.6,55.5,55.5,-0.30,2896.0,
104/03/09,7406092.0,409426868.0,55.2,56.5,54.5,55.5,0.00,3614.0,
104/03/10,14992549.0,836462109.0,56.1,56.9,55.0,55.7,+0.20,5922.0,
104/03/11,13587523.0,747066593.0,55.4,56.0,54.3,55.0,-0.70,6148.0,
104/03/12,7774664.0,425076009.0,54.6,55.2,54.2,55.0,0.00,2822.0,
104/03/13,8774921.0,487994194.0,55.5,55.9,55.2,55.9,+0.90,4204.0,
