Date,Open,High,Low,Close,Volume,Adj Close
2016-11-24,9164.839844,9183.160156,9137.55957,9152.110352,2022700,9152.104351
2016-11-23,9146.719727,9202.719727,9146.719727,9178.230469,1926800,9178.224451
2016-11-22,9058.580078,9161.19043,9058.580078,9133.389648,2146700,9133.38366
2016-11-21,9009.780273,9049.759766,8986.400391,9041.110352,1807800,9041.104424
2016-11-18,8991.50,9025.980469,8958.219727,9008.790039,1779800,9008.784132
2016-11-17,8984.570312,8998.230469,8936.299805,8995.259766,1704600,8995.253868
2016-11-16,8955.759766,9032.30957,8955.759766,8962.219727,1851700,8962.21385
2016-11-15,8927.919922,8981.049805,8923.360352,8931.030273,1949200,8931.024418
2016-11-14,8955.269531,8991.94043,8879.69043,8940.400391,2151600,8940.394529
2016-11-11,9067.650391,9067.650391,8949.379883,8957.759766,2518700,8957.753892
2016-11-10,9070.639648,9179.179688,9070.639648,9152.179688,1998400,9152.173687
2016-11-09,9252.269531,9296.860352,8926.599609,8943.200195,2656500,8943.194332
2016-11-08,9214.950195,9230.200195,9165.00,9217.429688,1347800,9217.423644
2016-11-07,9102.969727,9191.669922,9102.969727,9189.839844,1245000,9189.833818
2016-11-04,9065.110352,9098.879883,9048.209961,9068.150391,1181400,9068.144445
2016-11-03,9126.290039,9154.19043,9067.269531,9067.269531,1401300,9067.263586
2016-11-02,9230.230469,9230.230469,9139.040039,9139.040039,1373000,9139.034047
2016-11-01,9272.299805,9289.120117,9236.820312,9272.700195,1119300,9272.694116
2016-10-31,9283.200195,9314.339844,9194.480469,9290.120117,1320100,9290.114026
2016-10-28,9307.389648,9320.570312,9276.709961,9306.919922,1372600,9306.91382
2016-10-27,9363.900391,9370.320312,9286.860352,9299.549805,1445200,9299.543707
2016-10-26,9355.660156,9372.740234,9338.839844,9362.25,1311100,9362.243862
2016-10-25,9338.089844,9399.969727,9334.799805,9385.650391,1429900,9385.644237
2016-10-24,9333.94043,9343.570312,9308.530273,9322.50,1257600,9322.493888
2016-10-21,9322.549805,9348.089844,9292.530273,9306.570312,1895600,9306.564211
2016-10-20,9288.490234,9331.889648,9279.150391,9317.240234,1631700,9317.234126
2016-10-19,9227.980469,9298.870117,9226.459961,9283.990234,1506800,9283.984147
2016-10-18,9175.070312,9222.580078,9157.400391,9222.580078,1276700,9222.574031
2016-10-17,9150.669922,9182.669922,9074.990234,9176.219727,1260400,9176.21371
2016-10-14,9198.259766,9216.629883,9149.870117,9165.169922,1479500,9165.163913
2016-10-13,9268.219727,9285.049805,9187.780273,9219.169922,1523400,9219.163877
2016-10-12,9201.549805,9258.69043,9166.580078,9252.599609,1385400,9252.593543
2016-10-11,9311.790039,9327.709961,9167.719727,9219.820312,2070400,9219.814268
2016-10-07,9289.660156,9289.950195,9249.05957,9265.80957,1501300,9265.803495
2016-10-06,9263.400391,9284.30957,9242.830078,9284.30957,1405800,9284.303483
2016-10-05,9260.69043,9276.129883,9244.410156,9272.280273,1339700,9272.274194
2016-10-04,9228.660156,9287.769531,9224.450195,9287.769531,1396600,9287.763442
2016-10-03,9219.519531,9256.580078,9212.379883,9234.200195,1379500,9234.194141
2016-09-30,9240.44043,9240.650391,9160.910156,9166.849609,1606100,9166.843599
2016-09-29,9241.610352,9303.129883,9238.490234,9270.900391,1843300,9270.894312
2016-09-26,9229.339844,9229.339844,9189.490234,9194.519531,1242800,9194.513503
